REG;ANNEE;CPG;CPG_1;CPG_2;CPG_3;CPG_4;CPG_E;CPG_E_1;CPG_E_2;CPG_E_3;CPG_E_4;CPG_EL;CPG_EL_1;CPG_EL_2;CPG_EL_3;CPG_EL_4;CPG_EO;CPG_EO_1;CPG_EO_2;CPG_EO_3;CPG_EO_4
41;2010;157;42;81;26;8;16710;3071;8932;3199;1508;6749;1663;3777;910;399;9961;1408;5155;2289;1109
42;2010;101;9;56;26;10;11442;372;5589;3969;1512;3720;158;2441;1011;110;7722;214;3148;2958;1402
43;2010;130;32;52;38;8;13502;1658;4053;5185;2606;1401;327;678;242;154;12101;1331;3375;4943;2452
52;2010;612;50;252;199;111;85364;3093;24102;29752;28417;23315;646;5465;7516;9688;62049;2447;18637;22236;18729
53;2010;739;77;414;188;60;87025;5294;38955;27669;15107;11910;355;4369;5136;2050;75115;4939;34586;22533;13057
54;2010;408;40;213;108;47;55338;2371;21912;18318;12737;11681;347;4074;3689;3571;43657;2024;17838;14629;9166
72;2010;676;103;262;223;88;108141;7522;32070;41491;27058;21036;949;9148;6435;4504;87105;6573;22922;35056;22554
73;2010;578;73;251;211;43;41687;2768;13917;18481;6521;3812;215;1454;1754;389;37875;2553;12463;16727;6132
74;2010;180;32;82;55;11;12122;1073;4510;5133;1406;481;41;148;239;53;11641;1032;4362;4894;1353
82;2010;838;117;358;287;76;72920;4843;24588;30280;13209;12114;1596;4018;4757;1743;60806;3247;20570;25523;11466
83;2010;303;42;153;90;18;21828;1696;9400;8463;2269;1830;59;1190;528;53;19998;1637;8210;7935;2216
91;2010;746;125;298;251;72;116812;8104;35471;48040;25197;21451;1184;6325;8357;5585;95361;6920;29146;39683;19612
93;2010;704;73;308;230;93;97228;4836;30156;37617;24619;17504;799;5766;6401;4538;79724;4037;24390;31216;20081
94;2010;143;32;54;48;9;19962;3279;6676;7198;2809;298;2;95;68;133;19664;3277;6581;7130;2676
11;2009;103;27;39;26;11;16179;2430;4772;6041;2936;8360;1660;2741;2609;1350;7819;770;2031;3432;1586
21;2009;89;20;44;19;6;7809;919;3232;2812;846;1357;351;427;546;33;6452;568;2805;2266;813
22;2009;193;45;91;46;11;21431;3186;9164;6202;2879;14219;2663;5869;4261;1426;7212;523;3295;1941;1453
23;2009;109;23;46;27;13;10315;1332;3725;3256;2002;5111;868;1494;1520;1229;5204;464;2231;1736;773
24;2009;268;43;135;69;21;22223;1821;8442;7362;4598;2673;126;1099;998;450;19550;1695;7343;6364;4148
25;2009;237;31;109;64;33;29254;1917;9615;10569;7153;11052;852;3452;4114;2634;18202;1065;6163;6455;4519
26;2009;209;56;72;66;15;14705;2548;3894;6222;2041;1322;608;326;218;170;13383;1940;3568;6004;1871
31;2009;355;107;162;72;14;35573;6296;16354;10158;2765;27673;5427;12659;7186;2401;7900;869;3695;2972;364
41;2009;159;43;82;26;8;16967;3033;9154;3272;1508;7043;1663;4086;895;399;9924;1370;5068;2377;1109
42;2009;99;9;55;26;9;11318;372;5512;3996;1438;3786;158;2490;1022;116;7532;214;3022;2974;1322
43;2009;130;35;51;36;8;13502;1776;4061;4984;2681;1288;293;624;207;164;12214;1483;3437;4777;2517
52;2009;622;51;258;206;107;85807;3126;24310;31120;27251;22401;537;5101;7792;8971;63406;2589;19209;23328;18280
53;2009;750;81;422;187;60;87662;5494;39593;27644;14931;11506;377;3992;5009;2128;76156;5117;35601;22635;12803
54;2009;417;40;223;106;48;55887;2377;23326;17143;13041;11051;324;4320;3055;3352;44836;2053;19006;14088;9689
72;2009;681;106;267;221;87;107242;7758;32346;41021;26117;20210;958;8912;6087;4253;87032;6800;23434;34934;21864
73;2009;559;70;245;202;42;41126;2488;13878;18141;6619;3351;187;1292;1473;399;37775;2301;12586;16668;6220
74;2009;186;35;84;56;11;12500;1208;4478;5411;1403;474;41;148;233;52;12026;1167;4330;5178;1351
82;2009;844;117;363;289;75;73392;4869;25267;30530;12726;12486;1575;4238;4932;1741;60906;3294;21029;25598;10985
83;2009;308;44;153;95;16;22086;1784;9213;8909;2180;1793;60;1178;506;49;20293;1724;8035;8403;2131
91;2009;749;125;298;256;70;116957;7916;34875;48898;25268;21316;1000;6164;8141;6011;95641;6916;28711;40757;19257
93;2009;711;77;313;232;89;97319;5446;30076;38000;23797;17109;837;5232;6713;4327;80210;4609;24844;31287;19470
94;2009;144;34;54;49;7;19410;3338;6460;7221;2391;199;2;5;47;145;19211;3336;6455;7174;2246
11;2008;103;28;38;26;11;15666;2523;4756;5431;2956;8477;1750;2806;2568;1353;7189;773;1950;2863;1603
21;2008;91;21;48;17;5;7984;1063;3711;2510;700;1356;451;489;404;12;6628;612;3222;2106;688
22;2008;198;47;93;47;11;21517;3323;9004;6311;2879;14403;2784;5884;4309;1426;7114;539;3120;2002;1453
23;2008;109;22;46;29;12;10275;1267;3676;3481;1851;5182;819;1505;1644;1214;5093;448;2171;1837;637
24;2008;272;47;136;68;21;21902;1964;8349;7237;4352;2320;150;989;789;392;19582;1814;7360;6448;3960
25;2008;240;32;109;66;33;29991;1926;9779;11006;7280;10809;835;3330;4130;2514;19182;1091;6449;6876;4766
26;2008;209;54;74;65;16;14839;2512;3994;6163;2170;1409;657;363;214;175;13430;1855;3631;5949;1995
31;2008;358;109;164;70;15;36050;6459;16804;9973;2814;27761;5533;12750;7033;2445;8289;926;4054;2940;369
41;2008;161;43;83;27;8;17794;3033;9368;3877;1516;7825;1663;4305;1422;435;9969;1370;5063;2455;1081
42;2008;102;8;58;27;9;11569;302;5846;3999;1422;3932;158;2556;1103;115;7637;144;3290;2896;1307
43;2008;131;36;52;35;8;13481;1867;4239;4824;2551;1160;297;606;218;39;12321;1570;3633;4606;2512
52;2008;620;51;268;200;101;85832;3072;25800;30997;25963;21997;461;5359;8147;8030;63835;2611;20441;22850;17933
53;2008;753;79;430;184;60;87584;5428;40293;26861;15002;11265;380;3830;4885;2170;76319;5048;36463;21976;12832
54;2008;424;43;227;111;43;56264;2347;24215;17831;11871;10651;152;4424;2899;3176;45613;2195;19791;14932;8695
72;2008;685;106;272;220;87;107574;7865;32818;41324;25567;19181;868;8707;5920;3686;88393;6997;24111;35404;21881
73;2008;569;68;253;208;40;41547;2455;14146;18525;6421;3377;191;1228;1547;411;38170;2264;12918;16978;6010
74;2008;181;31;91;50;9;12307;1161;4887;5011;1248;453;41;165;204;43;11854;1120;4722;4807;1205
82;2008;846;119;366;288;73;73789;5150;25495;31114;12030;12576;1670;4358;4927;1621;61213;3480;21137;26187;10409
83;2008;317;49;156;97;15;22719;1993;9331;9342;2053;1962;199;1204;508;51;20757;1794;8127;8834;2002
91;2008;755;129;302;255;69;117236;8025;35313;48835;25063;20948;920;6254;7772;6002;96288;7105;29059;41063;19061
93;2008;712;77;316;232;87;96886;5548;30506;38009;22823;16708;885;5309;6436;4078;80178;4663;25197;31573;18745
94;2008;145;41;55;41;8;19564;4240;6600;6032;2692;416;3;5;36;372;19148;4237;6595;5996;2320
11;2007;100;27;37;25;11;15517;2468;4804;5283;2962;8541;1772;2982;2501;1286;6976;696;1822;2782;1676
21;2007;97;26;49;17;5;8528;1319;4043;2482;684;1394;490;487;404;13;7134;829;3556;2078;671
22;2007;186;41;89;46;10;20403;3022;8890;6422;2069;13216;2421;5750;4210;835;7187;601;3140;2212;1234
23;2007;113;23;49;29;12;10665;1323;4005;3473;1864;5152;851;1609;1485;1207;5513;472;2396;1988;657
24;2007;269;46;137;66;20;21751;1987;8521;6998;4245;2517;213;1152;760;392;19234;1774;7369;6238;3853
25;2007;247;36;115;63;33;29755;2055;9793;10566;7341;10394;878;2996;3882;2638;19361;1177;6797;6684;4703
26;2007;209;54;75;65;15;14788;2495;4056;6153;2084;1467;743;335;214;175;13321;1752;3721;5939;1909
31;2007;363;112;168;68;15;36228;6667;16952;9896;2713;27583;5690;12669;6840;2384;8645;977;4283;3056;329
41;2007;164;45;86;25;8;17969;3085;9676;3666;1542;7689;1663;4319;1365;342;10280;1422;5357;2301;1200
42;2007;103;9;58;27;9;11720;375;5850;4012;1483;4062;158;2577;1087;240;7658;217;3273;2925;1243
43;2007;130;33;52;38;7;13438;1700;4179;5080;2479;1145;266;594;241;44;12293;1434;3585;4839;2435
52;2007;621;53;270;197;101;85262;3094;26287;30551;25330;21022;444;5072;7798;7708;64240;2650;21215;22753;17622
53;2007;760;79;436;187;58;88183;5547;40777;27136;14723;10759;341;3385;4646;2387;77424;5206;37392;22490;12336
54;2007;431;43;234;113;41;56817;2313;24533;18770;11201;10248;129;4292;3086;2741;46569;2184;20241;15684;8460
72;2007;692;109;278;218;87;108213;8078;33107;40714;26314;17980;878;8247;5302;3553;90233;7200;24860;35412;22761
73;2007;571;67;257;207;40;41318;2390;14179;18339;6410;2948;154;1082;1353;359;38370;2236;13097;16986;6051
74;2007;183;32;92;50;9;12278;1147;4889;4984;1258;463;41;171;208;43;11815;1106;4718;4776;1215
82;2007;856;121;377;287;71;74240;5117;26547;30893;11683;12224;1654;4107;4943;1520;62016;3463;22440;25950;10163
83;2007;326;52;158;99;17;23360;2108;9678;9390;2184;2007;199;1176;501;131;21353;1909;8502;8889;2053
91;2007;765;131;308;259;67;118061;8210;35958;49667;24226;20481;1128;5711;7883;5759;97580;7082;30247;41784;18467
93;2007;718;78;320;234;86;98785;5614;30758;39453;22960;16688;844;5108;6579;4157;82097;4770;25650;32874;18803
94;2007;148;43;57;40;8;19982;4409;6871;6021;2681;416;3;5;36;372;19566;4406;6866;5985;2309
11;2006;99;28;36;24;11;15588;2493;5219;4870;3006;8866;1797;3351;2354;1364;6722;696;1868;2516;1642
21;2006;100;25;53;17;5;8225;1234;4163;2144;684;1225;480;521;211;13;7000;754;3642;1933;671
22;2006;188;39;95;43;11;20381;2825;9415;6015;2126;13105;2309;6052;3880;864;7276;516;3363;2135;1262
23;2006;111;20;47;30;14;10386;1244;3413;3480;2249;5021;713;1516;1550;1242;5365;531;1897;1930;1007
24;2006;277;50;139;67;21;21878;2134;8589;6867;4288;2753;216;1172;694;671;19125;1918;7417;6173;3617
25;2006;247;30;124;60;33;29404;1169;11212;9884;7139;9576;409;3369;3214;2584;19828;760;7843;6670;4555
26;2006;211;55;75;65;16;14780;2507;4096;6069;2108;1610;812;390;232;176;13170;1695;3706;5837;1932
31;2006;369;114;173;68;14;36589;6816;17229;9863;2681;27725;5805;12744;6839;2337;8864;1011;4485;3024;344
41;2006;158;44;82;24;8;17176;2974;9557;3119;1526;7208;1680;4336;862;330;9968;1294;5221;2257;1196
42;2006;107;10;61;27;9;11885;394;6071;3937;1483;4103;177;2609;1076;241;7782;217;3462;2861;1242
43;2006;128;32;50;39;7;13500;1598;4013;5328;2561;1260;253;634;331;42;12240;1345;3379;4997;2519
52;2006;623;53;277;194;99;85442;2992;26886;30438;25126;19314;434;4703;7464;6713;66128;2558;22183;22974;18413
53;2006;772;81;452;182;57;89128;5705;42020;26671;14732;9913;340;3078;3933;2562;79215;5365;38942;22738;12170
54;2006;438;46;240;111;41;56732;2278;24856;18514;11084;9768;97;3976;2974;2721;46964;2181;20880;15540;8363
72;2006;696;107;284;217;88;106095;7672;31435;40854;26134;14352;527;5992;4663;3170;91743;7145;25443;36191;22964
73;2006;581;66;268;208;39;42101;2268;14715;18577;6541;2884;131;1084;1304;365;39217;2137;13631;17273;6176
74;2006;183;33;92;49;9;12287;1175;4950;4883;1279;461;41;156;227;37;11826;1134;4794;4656;1242
82;2006;868;127;390;280;71;74598;5271;27745;30094;11488;12537;1661;4372;4943;1561;62061;3610;23373;25151;9927
83;2006;331;55;163;96;17;23610;2223;9970;9232;2185;2068;235;1184;518;131;21542;1988;8786;8714;2054
91;2006;769;130;312;263;64;118513;8050;35946;50779;23738;20223;834;5511;8196;5682;98290;7216;30435;42583;18056
93;2006;733;82;331;234;86;97311;5588;31235;38582;21906;16565;813;5049;6498;4205;80746;4775;26186;32084;17701
94;2006;149;42;58;40;9;20349;4563;6986;6039;2761;420;3;5;36;376;19929;4560;6981;6003;2385
11;2005;99;29;37;22;11;15659;2802;5299;4579;2979;8880;1830;3391;2295;1364;6779;972;1908;2284;1615
21;2005;100;26;54;16;4;8092;1332;4140;2101;519;1179;436;527;206;10;6913;896;3613;1895;509
22;2005;191;42;96;42;11;20147;2985;9398;6024;1740;13170;2480;6039;3796;855;6977;505;3359;2228;885
23;2005;111;20;51;28;12;10226;1194;3761;3176;2095;4764;672;1594;1513;985;5462;522;2167;1663;1110
24;2005;275;54;132;68;21;21826;2365;8326;6876;4259;2961;340;1015;751;855;18865;2025;7311;6125;3404
25;2005;249;29;129;58;33;29409;1129;11597;9560;7123;9520;395;3384;3091;2650;19889;734;8213;6469;4473
26;2005;213;55;78;65;15;15013;2548;4329;6270;1866;1715;815;432;298;170;13298;1733;3897;5972;1696
31;2005;365;114;170;67;14;35999;6611;16861;9807;2720;27373;5664;12605;6782;2322;8626;947;4256;3025;398
41;2005;158;44;82;25;7;16936;2998;9464;3217;1257;7187;1680;4401;936;170;9749;1318;5063;2281;1087
42;2005;106;11;59;26;10;11606;436;5750;3725;1695;4003;177;2528;1003;295;7603;259;3222;2722;1400
43;2005;136;38;53;38;7;14011;1890;4192;5221;2708;1298;276;647;333;42;12713;1614;3545;4888;2666
52;2005;636;53;303;184;96;85836;2767;29941;28666;24462;18117;403;5134;6567;6013;67719;2364;24807;22099;18449
53;2005;755;81;438;178;58;90040;5768;41905;26628;15739;8864;308;2712;3311;2533;81176;5460;39193;23317;13206
54;2005;444;49;247;110;38;61174;2289;27572;19306;12007;13207;143;5432;3801;3831;47967;2146;22140;15505;8176
72;2005;702;107;293;216;86;107513;8238;31680;40771;26824;14495;957;5138;4327;4073;93018;7281;26542;36444;22751
73;2005;572;67;266;201;38;41013;2407;14803;17609;6194;2485;77;1006;1215;187;38528;2330;13797;16394;6007
74;2005;187;35;93;50;9;12259;1202;5104;4687;1266;209;1;109;66;33;12050;1201;4995;4621;1233
82;2005;874;132;397;276;69;74777;5646;28193;29768;11170;13010;1759;4499;5159;1593;61767;3887;23694;24609;9577
83;2005;334;57;167;93;17;23633;2439;9993;8983;2218;2007;215;1200;458;134;21626;2224;8793;8525;2084
91;2005;779;129;326;258;66;120222;8328;37219;50055;24620;20180;822;5868;8063;5427;100042;7506;31351;41992;19193
93;2005;736;83;334;235;84;98295;6589;32102;37632;21972;17348;1800;5066;6266;4216;80947;4789;27036;31366;17756
94;2005;152;40;60;43;9;20956;4113;7592;6479;2772;381;3;5;0;373;20575;4110;7587;6479;2399
11;2004;100;29;38;21;12;15525;2801;5302;4329;3093;9208;2032;3465;2262;1449;6317;769;1837;2067;1644
21;2004;102;28;54;16;4;7937;1388;4109;1951;489;1045;395;527;122;1;6892;993;3582;1829;488
22;2004;192;43;99;41;9;20281;3034;9913;5865;1469;13442;2530;6391;3699;822;6839;504;3522;2166;647
23;2004;114;19;54;29;12;10060;1263;3848;2949;2000;4276;785;1520;1262;709;5784;478;2328;1687;1291
24;2004;289;59;141;69;20;22489;2450;9009;7163;3867;3097;244;1183;796;874;19392;2206;7826;6367;2993
25;2004;248;29;128;59;32;29325;1131;11620;9744;6830;8472;292;3387;2938;1855;20853;839;8233;6806;4975
26;2004;213;56;79;63;15;15042;2716;4530;6039;1757;1682;829;408;271;174;13360;1887;4122;5768;1583
31;2004;375;120;174;68;13;35942;6755;16922;10045;2220;27104;5746;12249;7292;1817;8838;1009;4673;2753;403
41;2004;161;43;87;24;7;16887;2659;9920;3051;1257;6810;985;4649;1006;170;10077;1674;5271;2045;1087
42;2004;111;14;60;27;10;11918;537;5942;3791;1648;4398;268;2767;1050;313;7520;269;3175;2741;1335
43;2004;137;40;54;36;7;13990;1962;4782;4573;2673;1355;254;669;214;218;12635;1708;4113;4359;2455
52;2004;639;55;312;178;94;84796;2936;30741;27620;23499;11894;395;4000;4355;3144;72902;2541;26741;23265;20355
53;2004;756;82;439;177;58;88830;5896;41722;25232;15980;5873;86;1421;1798;2568;82957;5810;40301;23434;13412
54;2004;442;51;245;109;37;56781;2320;26334;18124;10003;8195;99;3573;2270;2253;48586;2221;22761;15854;7750
72;2004;700;104;295;216;85;105882;8040;32177;39818;25847;11353;927;4791;3075;2560;94529;7113;27386;36743;23287
73;2004;596;76;281;203;36;41318;2697;15653;17151;5817;1993;69;771;1016;137;39325;2628;14882;16135;5680
74;2004;189;39;93;47;10;12177;1399;5112;4344;1322;157;1;103;44;9;12020;1398;5009;4300;1313
82;2004;894;137;406;285;66;75049;5958;28711;30106;10274;12655;1911;4258;5250;1236;62394;4047;24453;24856;9038
83;2004;339;61;168;93;17;23744;2711;9928;8950;2155;1919;214;1139;415;151;21825;2497;8789;8535;2004
91;2004;785;130;330;260;65;118974;8315;37579;49716;23364;16949;697;5601;6477;4174;102025;7618;31978;43239;19190
93;2004;754;87;345;238;84;96833;6678;31863;36724;21568;15330;1837;4715;5085;3693;81503;4841;27148;31639;17875
94;2004;153;43;59;43;8;20598;4648;7434;6229;2287;203;3;2;1;197;20395;4645;7432;6228;2090
11;2003;104;30;40;23;11;15710;2890;5619;4263;2938;9530;2117;3739;2405;1269;6180;773;1880;1858;1669
21;2003;101;27;55;15;4;7756;1231;4192;1862;471;1027;371;521;134;1;6729;860;3671;1728;470
22;2003;194;46;100;41;7;20617;3487;10100;6079;951;13922;2983;6577;3902;460;6695;504;3523;2177;491
23;2003;115;20;53;30;12;10150;1230;3985;2949;1986;4507;798;1683;1308;718;5643;432;2302;1641;1268
24;2003;289;60;144;67;18;22251;2476;9072;7140;3563;3186;227;1217;791;951;19065;2249;7855;6349;2612
25;2003;241;29;125;58;29;27764;997;10926;9179;6662;7736;184;2947;2875;1730;20028;813;7979;6304;4932
26;2003;215;55;83;62;15;15151;2702;4776;5916;1757;1605;831;334;276;164;13546;1871;4442;5640;1593
31;2003;380;122;177;68;13;36229;6784;17019;10202;2224;26952;5816;12163;7195;1778;9277;968;4856;3007;446
41;2003;162;44;87;24;7;16692;2636;9831;3049;1176;6637;974;4540;994;129;10055;1662;5291;2055;1047
42;2003;111;14;60;27;10;11567;537;5578;3809;1643;4290;268;2749;1050;223;7277;269;2829;2759;1420
43;2003;140;41;57;35;7;14127;2076;5351;4138;2562;1383;301;666;199;217;12744;1775;4685;3939;2345
52;2003;645;56;326;170;93;84215;2878;31957;26705;22675;11763;378;3942;4179;3264;72452;2500;28015;22526;19411
53;2003;756;84;443;173;56;88025;5987;42882;24799;14357;3767;37;1067;1131;1532;84258;5950;41815;23668;12825
54;2003;446;53;249;106;38;56647;2349;26517;17516;10265;8037;83;3372;2071;2511;48610;2266;23145;15445;7754
72;2003;715;105;312;212;86;105087;6522;33641;38625;26299;10713;597;4280;3334;2502;94374;5925;29361;35291;23797
73;2003;601;76;286;200;39;41449;2633;15823;17000;5993;1703;44;550;977;132;39746;2589;15273;16023;5861
74;2003;193;40;94;49;10;12703;1509;5139;4733;1322;161;47;47;58;9;12542;1462;5092;4675;1313
82;2003;899;138;412;283;66;74501;5789;29099;29845;9768;12878;1849;4409;5318;1302;61623;3940;24690;24527;8466
83;2003;334;59;166;91;18;23600;2478;9895;8901;2326;2080;220;1088;431;341;21520;2258;8807;8470;1985
91;2003;784;130;337;250;67;119627;9476;37928;47456;24767;16542;715;5056;6107;4664;103085;8761;32872;41349;20103
93;2003;753;83;347;239;84;97003;6506;31965;36734;21798;14539;1513;4524;4835;3667;82464;4993;27441;31899;18131
94;2003;149;43;59;39;8;19728;4727;7204;5534;2263;203;3;2;1;197;19525;4724;7202;5533;2066
